Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Region,Area,Country,Type
5a9846ec-8403-59d7-b86c-43b9f098593e,Acharacle Strontian,15:00,1hr 30mins,PH36 4HZ,56.692732,-5.568288,Strontian Parish Church,Strontian Parish Church,surviving.ironclad.slogans,Friday,False,False,False,False,,,,,,England,Alcoholics Anonymous
80e131bd-fa48-5be8-b7b9-77319c9cfea5,Atherstone,19:00,1hr 30mins,CV9 1EX,52.577949,-1.546777,St Mary's Church,"Market St,Sheepy Rd",link.violinist.clocking,Wednesday,False,False,False,True,'Open' mtgs on request.,,,,,England,Alcoholics Anonymous
f7d6c361-799f-584c-af8c-dc7e2f61c1af,Atherstone As Bill Sees It,13:30,1hr,CV9 1EX,52.577949,-1.546777,St Mary's Church,"Market St,Sheepy Rd",link.violinist.clocking,Friday,False,False,False,True,'Open' mtgs on request.,,,,,England,Alcoholics Anonymous
1d190c6a-b218-5fa7-a06e-ac758c856cc8,Badgers Mount Daily Reflections,09:00,1hr 15mins,TN14 7AH,51.336014,0.147019,Memorial Hall,"Highland Rd,Badgers Mount",money.milk.slate,Sunday,False,True,False,False,,,,,,England,Alcoholics Anonymous
e9072330-b7a7-563a-b30f-2b50dc81aba8,Crieff Keep It Simple,19:00,1hr 30mins,PH7 3HR,56.370441,-3.84262,Crieff Cottage Hospital,King St,unopposed.sweeten.chose,Sunday,False,True,False,True,'Open' mtgs on request.,,There is a strict NHS No Smoking policy and we expect attendees to be responsible and not to smoke on hospital premises.,,,England,Alcoholics Anonymous
0417f136-593c-57f3-b320-e20c914d5826,Isle Of Lewis: Stornoway First,20:00,2hrs,HS1 2NF,58.209191,-6.38359,AA Hall,Francis St (Behind Free Church Seminary),butterfly.visit.rich,Monday,False,True,False,False,,,,,,England,Alcoholics Anonymous
4377ffc9-a5d5-5a30-b644-f2c7398d6cc6,Isle Of Lewis: Stornoway First,13:00,2hrs,HS1 2NF,58.209191,-6.38359,AA Hall,Francis St (Behind Free Church Seminary),butterfly.visit.rich,Wednesday,False,True,False,False,,,,,,England,Alcoholics Anonymous
5348cef9-018f-56e5-a836-3c57b4fb410d,Isle Of Lewis: Stornoway First,20:00,2hrs,HS1 2NF,58.209191,-6.38359,AA Hall,Francis St (Behind Free Church Seminary),butterfly.visit.rich,Saturday,False,True,False,False,,,,,,England,Alcoholics Anonymous
01fd3836-e44e-5243-be1a-7bb060f55d65,Isle Of Lewis: Stornoway First,20:00,2hrs,HS1 2NF,58.209191,-6.38359,AA Hall,Francis St (Behind Free Church Seminary),butterfly.visit.rich,Sunday,False,True,False,False,,,,,,England,Alcoholics Anonymous
fa0313a8-2cf9-555c-b6f9-f55286498ab7,Isle Of Lewis: Stornoway First,20:00,2hrs,HS1 2NF,58.209191,-6.38359,AA Hall,Francis St (Behind Free Church Seminary),butterfly.visit.rich,Friday,False,True,False,False,,,,,,England,Alcoholics Anonymous
0bbf6153-bbf5-5877-bb93-6708aef2e85f,Isle Of Lewis: Stornoway First,20:00,2hrs,HS1 2NF,58.209191,-6.38359,AA Hall,Francis St (Behind Free Church Seminary),butterfly.visit.rich,Wednesday,False,True,False,False,,,,,,England,Alcoholics Anonymous
7d90f4ce-2d24-5009-adcb-41037902958d,Ramsey Big Book Study,17:00,1hr 30mins,IM8 1BH,54.322661,-4.37848,Our Lady Star Of The Sea & St Maughold Church,Dale St,shimmy.retain.blogged,Saturday,False,False,False,False,,,,,,England,Alcoholics Anonymous
b9194b1c-d003-5a1d-a211-c9f7570b09b3,Rhodes Town,10:30,,,36.4349631,28.2174829,Old Hospital,"Queen Olga,Red Cross St 3,Rhodes 85100 (Erithro Stavro)",starter.rungs.supple,Saturday,False,False,False,False,,,This meeting is through the summer only from 15th April til 15th November.,,,England,Alcoholics Anonymous
97adcd87-9775-5fe0-a9d1-7d8b6efff336,Ringwood,19:45,1hr 15mins,BH24 1DN,50.845351,-1.78997,Wesley Centre,34A Christchurch Rd,veal.hips.regulator,Wednesday,False,False,True,True,All mtgs 'open'.,,Chit system available.,,,England,Alcoholics Anonymous
ddc9026e-cf7d-552c-a149-af0f84b019f4,Rye Step & Tradtion,12:30,1hr,TN31 7LB,50.950583,0.73384,St Mary's Parish Halls - The Kino,Lion St,pulps.starting.guru,Wednesday,False,True,True,False,,,,,,England,Alcoholics Anonymous
3b6b790f-a6f8-5a60-ab57-6464195bb044,Stepps ODAAT,20:00,1hr 45mins,G33 6FH,55.893954,-4.140062,Stepps Cultural Centre,10 Blenheim  Ave,tummy.bunny.orange,Monday,False,True,False,True,All mtgs 'open'.,,No meeting held on any Bank Holiday Monday.,,,England,Alcoholics Anonymous
a379a6b0-a333-597f-a8aa-6cf44277ec9f,Birmingham Jednosc Polish Speaking,12:00,1hr 30mins,B27 6HG,52.451343,-1.818717,Acocks Green Baptist Church,39 Yardley Rd,overnight.notice.loans,Sunday,False,False,False,True,All mtgs 'open'.,,,Birmingham,Midlands,England,Alcoholics Anonymous
5a334655-14ec-5f2e-b7bb-c1fefd986d4c,Dudley Top Church,19:30,1hr 30mins,DY1 1QD,52.508857,-2.087263,Top Church,High St,guilty.piano.moons,Monday,False,True,False,True,'Open' mtgs on request.,,,Black Country,Midlands,England,Alcoholics Anonymous
da8e93a9-76aa-5e33-9cdf-112383eb1348,Blackpool Hope In The Harbour,19:30,1hr 15mins,FY4 4FE,53.800408,-2.989184,The Harbour NHS Site,Preston New Rd,trials.stir.flame,Tuesday,False,True,False,True,All mtgs 'open'.,,,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
94cf0e47-bb78-551d-bd95-abaac0c849d6,Bournemouth Big Book Study,12:30,1hr 15mins,BH8 9QQ,50.738025,-1.864563,Charminster Spiritualist Church,207 Charminster Rd,falls.hammer.tall,Wednesday,False,True,False,False,,,,Bournemouth District,South West,England,Alcoholics Anonymous
f0fc88bf-df46-5aab-9a19-317231375ef8,AA & Our Mental Health,18:30,1hr,BS5 0RE,51.458896,-2.577928,St Nicholas Of Tolentino Church,Lawfords Gate,detect.costs.guards,Wednesday,False,True,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
0fe3813d-5d2e-5232-a553-5e9c2def5a40,Bristol As Bill Sees It,11:45,1hr,BS30 5JJ,51.456965,-2.468403,St Barnabas Church Hall,"Church Ave,Warmley",flag.hurray.proven,Thursday,False,True,False,True,All mtgs 'open'.,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
9337c3ff-ab47-583a-bbb2-68a26f343fa9,Bristol Courage To Change,20:00,1hr,BS48 3HQ,51.412436,-2.743521,West Town Methodist Church,"West Town Rd,Backwell",dissolves.crusaders.paths,Thursday,False,True,False,True,All mtgs 'open'.,,Shared platform AA & Al-Anon every week,Bristol and District,South Midlands,England,Alcoholics Anonymous
b771d5eb-cfad-51cf-afa6-7629b3515571,Bristol Newcomers Feelings,19:00,1hr,BS8 1LL,51.457371,-2.612568,University Catholic Chaplaincy,"103 Queens Rd,Clifton",birds.glow.cliff,Saturday,False,False,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
183b13a3-ca99-5b67-9e7f-195d07512128,Bristol Newcomers Speaker,20:00,1hr,BS8 1LL,51.457371,-2.612568,University Catholic Chaplaincy,"103 Queens Rd,Clifton",birds.glow.cliff,Monday,False,False,False,True,All mtgs 'open'.,,Open speaker meeting.,Bristol and District,South Midlands,England,Alcoholics Anonymous
8ead171b-b4ac-5c64-81c6-f3f1176e4a9d,Bristol Newcomers Step And Tradition,19:30,1hr,BS8 1LL,51.457371,-2.612568,University Catholic Chaplaincy,"103 Queens Rd,Clifton",birds.glow.cliff,Wednesday,False,False,False,False,,,Email: Newcomers.clifton@gmail.com,Bristol and District,South Midlands,England,Alcoholics Anonymous
d6b7c0cc-662b-57ca-bc79-fc4ffb55a689,Nailsea One Step Beyond,20:00,1hr,BS48 2LP,51.428115,-2.755268,St Francis Church Hall,"Off Ash Hayes Rd,Nailsea",kick.safety.lately,Friday,False,True,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
ae608977-a99c-5209-8dd1-d386f3feb794,Thornbury Discussion,20:00,1hr 15mins,BS35 2QX,51.587671,-2.531005,Jubilee Hall,"Greenhill Rd,Alveston Nr Thornbury",game.mirroring.broke,Sunday,False,True,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
496462f0-facd-500e-b9a4-f516498ee434,Thornbury: Discussion,20:00,,BS35 2QX,51.587671,-2.531005,Jubilee Hall,"Greenhill Rd,Alveston Nr Thornbury",game.mirroring.broke,Tuesday,False,True,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
