Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails
c6ca5a55-cb1f-53ce-9bfd-42e63ac10d74,Bath: Lunchtime Living Sober,,,BA1 1JW,51.378725,-2.356709,Ground Floor,"Baptist Church, Manvers St",,Thursday,False,True,False,False,,,,1252/,Bath,UK,0,Bath,City,England,Alcoholics Anonymous,AA,False
5515ac71-ffaa-5735-a3c2-bc9f9481c039,Battersea,,,SW4 9SW,51.461438,-0.160647,St Barnabas Church,"Clapham Common, Northside (Entrance In, Lavender Gdns).",,Friday,False,False,False,False,,,,226/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
714a51ea-1b53-508b-995d-20d9becfa09a,Bedminster South,,,BS3 3DP,51.437237,-2.607668,St Aldhelms Cofe Church,"Corner Of Chessel St & Ashfield Rd, (Side Entrance).",,Sunday,False,False,False,False,,,,32/,Bath,UK,0,Bath,City,England,Alcoholics Anonymous,AA,False
5556be05-fd83-52df-a569-d01f1195314d,Bethnal Green How It Works Newcomers,,,E2 9JP,51.532455,-0.050599,Bethnal Green Methodist Church,Approach Rd,,Friday,False,False,False,False,,,,2636/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
adbcc89f-887a-5d4f-8390-0aeaab3a66d8,Birmingham Big Book Study,,,B9 4DY,52.475979,-1.880977,Sifa 48-52 Allcock St,Birmingham,,Friday,False,False,False,False,,,,2645/,Birmingham,UK,0,Birmingham,City,England,Alcoholics Anonymous,AA,False
1c55f41c-9e72-5ff4-ac0f-0d06260c20a8,Birmingham St Michaels,,,B26 1AP,52.463433,-1.808285,St Michaels Church,"Rowlands Rd, Yew Tree Lane,, South Yardley",,Saturday,False,False,False,False,,,,3143/,Birmingham,UK,0,Birmingham,City,England,Alcoholics Anonymous,AA,False
4d90c27c-aa04-5c8c-8543-56b03f0033e1,Blackley,,,M9 6RA,53.5326623,-2.2091563,St Pauls Church,"Choir Vestry, Walker Rd, Off Victoria Ave,, Blackley",,Wednesday,False,True,False,False,,,,1173/,Manchester,UK,0,Manchester,City,England,Alcoholics Anonymous,AA,False
033309b8-851c-56cf-85f9-317d661dccab,Burnt Oak,,,HA8 0HQ,51.602762,-0.260125,Church Of The Annunciation,"4 Thirleby Rd, (Off Gervase Rd).",,Friday,False,False,False,False,,,,1475/,,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
1bdb9157-19ff-57de-bbb0-d0d5dc16458a,Buxton,,,SK17 6PX,53.257544,-1.911894,St Anne's Community Centre,Hardwick Square West,,Tuesday,False,True,False,False,,,,126/,Manchester,UK,0,Manchester,City,England,Alcoholics Anonymous,AA,False
ca271e88-a5ae-5cbe-b498-84ff8846133f,Chelmsford,,,CM2 0AW,51.728231,0.465967,Room 3,"Christ Church, 164 New London Rd",,Wednesday,False,True,False,False,,,,2129/,,UK,0,Chelmsford,City,England,Alcoholics Anonymous,AA,False
c698ac1d-bd62-57a0-8548-2bff7d3623d9,Chorley Came To Believe,,,PR6 8EW,53.677646,-2.604169,St Barnabas Church,"Chapel Lane, Heapey",,Wednesday,False,False,False,False,,,,2497/,Liverpool,UK,0,Liverpool,City,England,Alcoholics Anonymous,AA,False
365158fc-40eb-53fb-8088-414c931d1d7a,Chorlton,,,M21 8BF,53.43956,-2.274301,Chorlton Central Church,Barlow Moor Rd,,Friday,False,False,False,False,,,,2877/,Manchester,UK,0,Manchester,City,England,Alcoholics Anonymous,AA,False
c1c7c5e6-db29-5d8a-8deb-a8c4ebda5ff1,City  Lunch,,,EC2V 6HH,51.515113,-0.096251,,"4 Foster Lane, Blue Door Next To St Vedast Church.",,Tuesday,False,True,False,False,,,,238/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
207adc78-fcef-5f50-b0ef-bf5f05f49926,Clevedon Morning,,,BS21 6AU,51.441878,-2.840257,All Saints Church,All Saints Rd,,Saturday,False,False,False,False,,,,2597/,Bath,UK,0,Bath,City,England,Alcoholics Anonymous,AA,False
eb409546-1bf6-57f4-b7ac-62dfad19183e,Crumpsall Keep It Simple,,,M8 5ST,53.516973,-2.238618,Crumpsall Methodist Church,Landsdown Rd,,Sunday,False,True,False,False,,,,2246/,Manchester,UK,0,Manchester,City,England,Alcoholics Anonymous,AA,False
9f2eddd3-b56e-5404-8ef1-ca233412a546,Deal Feelings,,,CT14 9LU,51.216891,1.38112,St Leonards Church Hall,Rectory Rd,,Thursday,False,True,False,False,,,,2605/,Canterbury,UK,0,Canterbury,City,England,Alcoholics Anonymous,AA,False
62c6eb46-0a58-5722-8ffb-d7f1656febf5,East Twickenham: Sober At Seven Early Morning,,,TW1 2QJ,51.456868,-0.308732,The Arches,"Richmond Bridge,Richmond Rd, Entrance Via, Curved Iron Gate On Corner Of Willoughby Rd, East Twickenham",,Wednesday,False,False,False,False,,,,2102/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
c8cafb8d-2501-5355-8ebf-cedba1ccdee2,Edgbaston,,,B16 9JN,52.473653,-1.945038,,"9 Lyttleton Rd, Off St Augustines Rd, Edgbaston",,Thursday,False,True,False,False,,,,630/,Birmingham,UK,0,Birmingham,City,England,Alcoholics Anonymous,AA,False
a2616fbb-8cae-54c4-9cef-53702c55cadb,Gospel Oak Promises,,,NW3 2NT,51.553653,-0.15866,Gospel Oak Methodist Church,73 Agincourt Rd,,Monday,False,False,True,False,,,,1501/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
f87dc6ba-6b11-569d-a7ed-9fdab68a0e49,Harrogate Recovery,,,HG1 1EL,53.990268,-1.539674,St Paul's Church,Victoria Ave,,Saturday,False,False,False,False,,,,1770/,Bradford,UK,0,Bradford,City,England,Alcoholics Anonymous,AA,False
262fbc68-2d53-5f16-88bb-7b685aad2bd5,Harrow Newcomers,,,HA1 1JZ,51.582365,-0.335658,Large Hall,"Welldon Centre, Welldon Crescent, Saturday-Morning-Newcomers@Aa-Email.Org.Uk",,Saturday,False,True,False,False,,,,2103/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
24ba4191-1ecb-552a-bd07-12a44f9a8b42,Heaton Park,,,M25 1JA,53.53291,-2.267705,Heaton Park Methodist Church,"Bury Old Rd, Prestwich",,Thursday,False,False,False,False,,,,327/,Manchester,UK,0,Manchester,City,England,Alcoholics Anonymous,AA,False
8ebec9a0-fe4a-55ff-ad61-7395d754043f,Holmfirth Big Book Study,,,HD9 1HA,53.570222,-1.785843,Holy Trinity Church,Towngate,,Thursday,False,False,False,False,,,,1831/,Bradford,UK,0,Bradford,City,England,Alcoholics Anonymous,AA,False
08e79bd5-327b-58f3-9560-69776dd55d62,Holt Step As Bill Sees It And Steps,,,NR25 6DN,52.904495,1.08955,Holt Community Centre,Kerridge Way,,Thursday,False,True,False,False,,,,2621/,Norwich,UK,0,Norwich,City,England,Alcoholics Anonymous,AA,False
cb025a80-0631-5bf1-b8e0-8efb1910c660,Huntingdon Brampton: Recovery,,,PE28 4PF,52.321686,-0.218802,St Mary Magdalene Church Hall,"Church Rd, Brampton",,Friday,False,True,False,False,,,,1974/,Cambridge,UK,0,Cambridge,City,England,Alcoholics Anonymous,AA,False
60ebf548-ca15-5747-bb10-0f4877a9cf70,Ilford Septyni Karaliai Lithuanian Speaking,,,IG1 1QP,51.560745,0.083414,,326 High Rd,,Tuesday,False,False,True,False,,,,2027/,Chelmsford,UK,0,Chelmsford,City,England,Alcoholics Anonymous,AA,False
2c709f58-7747-50e4-840c-1882ff6c06cc,Ilford Seven Kings (Lithuanian Spkg),,,IG1 1QP,51.560745,0.083414,,326 High Rd,,Thursday,False,False,False,False,,,,2070/,Chelmsford,UK,0,Chelmsford,City,England,Alcoholics Anonymous,AA,False
67f94b8a-edea-5d43-b154-2794e451a544,Ilford Seven Kings (Lithuanian Spkg),,,IG1 1QP,51.560745,0.083414,,326 High Rd,,Saturday,False,False,False,False,,,,2028/,Chelmsford,UK,0,Chelmsford,City,England,Alcoholics Anonymous,AA,False
afcfd9e1-004c-5e3c-85bd-8a5608e2d6cf,Knaresborough Recovery,,,HG5 9ET,54.018412,-1.466304,Park Grove Methodist Church,Park Grove,,Tuesday,False,False,False,False,,,,1269/,Bradford,UK,0,Bradford,City,England,Alcoholics Anonymous,AA,False
9afe8362-c151-5e59-a926-3d2dbcd7848c,Milton Keynes Bletchley Morning,,,MK3 6BJ,51.993517,-0.742162,Rectory Cottages,"Church Green Rd, Bletchley",,Sunday,False,True,False,False,,,,1435/,Milton Keynes,UK,0,Milton Keynes,City,England,Alcoholics Anonymous,AA,False
bd540931-594d-5b83-af29-bcc19a023897,Milton Keynes Stony Stratford,,,MK11 1JQ,52.054611,-0.84829,York House,"London Rd, Stony Stratford",,Sunday,False,True,False,False,,,,1215/,Milton Keynes,UK,0,Milton Keynes,City,England,Alcoholics Anonymous,AA,False
f5014b6a-43ed-5155-a499-3da909ab2c90,Nottingham,,,NG1 5AE,52.954407,-1.15725,St Barnabus Cathedral Hall,Off Derby Rd,,Saturday,False,False,False,False,,,,524/,Derby,UK,0,Derby,City,England,Alcoholics Anonymous,AA,False
97a6f442-b2f9-5016-a4a5-bdb5d6cf0991,Nottingham Sherwood,11:30,"1hr ",,0,0,Methodist Church,"Devon Drive, Sherwood",,Tuesday,False,True,False,True,Open,,,1609/,Derby,UK,0,Derby,City,England,Alcoholics Anonymous,AA,True
a5897549-bbad-59e9-8424-50acfd5f1a41,Nottingham Trent Vineyard,,,NG7 2PX,52.942139,-1.17164,Easter Park,Lenton Lane,,Friday,False,True,False,False,,,,2055/,Derby,UK,0,Derby,City,England,Alcoholics Anonymous,AA,False
b8985cc2-9df6-543c-b728-20721d8146fa,Oakfields,,,L4 2QG,53.427398,-2.956259,All Saints Rc Church,"Oakfield, Anfield",,Sunday,False,True,False,False,,,,1733/,Chester,UK,0,Chester,City,England,Alcoholics Anonymous,AA,False
9e022fa5-1594-5cb4-8e6c-690e47170964,Pierwsza Polskoj?Zyczna Polish Speaking,,,W12 9JG,51.501248,-0.237945,The Basement,"Andrzeja Boboli Polish Catholic Church, 18 Greenside Rd",,Tuesday,False,False,True,False,,,,1331/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
ea0bd4a9-6056-542e-b5a3-770065ce7008,Plymouth  Wolseley,,,PL2 3BY,50.387721,-4.16632,Wolseley Trust Community Resource Bldg,27 Wolseley Close,,Sunday,False,True,False,False,,,,1547/,Plymouth,UK,0,Plymouth,City,England,Alcoholics Anonymous,AA,False
6b30e4cd-5fc1-5f08-a44d-ff5cf564be6c,Plymouth Joys Of Recovery,,,PL1 2AQ,50.367966,-4.140262,Unitarian Church,Notte St,,Friday,False,False,False,False,,,,1042/,Plymouth,UK,0,Plymouth,City,England,Alcoholics Anonymous,AA,False
70d207da-8b3f-5b4f-b0f3-edaac9685866,Pype Hayes,,,B24 0BN,52.527478,-1.813989,Pype Hayes United Reformed Church,"Chester Rd, Pype Hayes,, (Opp Pype Hayes Park)",,Friday,False,True,False,False,,,,634/,Birmingham,UK,0,Birmingham,City,England,Alcoholics Anonymous,AA,False
f764d6f1-936e-5554-8227-e2147245316d,Rainhill,,,L35 0LE,53.414665,-2.764881,St Ann's Millennium Centre,View Rd,,Thursday,False,False,False,False,,,,485/,Chester,UK,0,Chester,City,England,Alcoholics Anonymous,AA,False
93c1f38b-f626-5375-ab3c-bbd5bf14acfe,Rugeley Lunchtime,,,WS15 2HG,52.764999,-1.93387,St Augustines Church Hall,Station Rd,,Thursday,False,True,False,False,,,,1904/,Birmingham,UK,0,Birmingham,City,England,Alcoholics Anonymous,AA,False
5327459a-c3d1-5d01-83cb-f2ce029efc3d,Rushden Reflections,,,NN10 2QE,52.2854924,-0.5700557,St Marys Church Hall,Rushden,,Friday,False,True,False,False,,,,2847/,Milton Keynes,UK,0,Milton Keynes,City,England,Alcoholics Anonymous,AA,False
c1d90887-5be6-55ef-b2a5-8937ae78e828,Salford Saturday,,,M3 5DW,53.484806,-2.250327,Sacred Trinity Church,Chapel St,,Saturday,False,False,False,False,,,,1858/,Manchester,UK,0,Manchester,City,England,Alcoholics Anonymous,AA,False
57adf3b1-d622-569d-91d0-95d5fd28621a,St Austell,,,PL25 5AE,50.339102,-4.795942,The Vestry,"St John's Methodist Church, Bodmin Rd",,Saturday,False,True,False,False,,,,1947/,Truro,UK,0,Truro,City,England,Alcoholics Anonymous,AA,False
dc8346c5-7f79-5474-bbbc-ceabde1c34c3,St George,,,BS5 7AW,51.463578,-2.550406,The Beehive Centre,"19A Stretford Rd, Whitehall",,Tuesday,False,True,False,False,,,,23/,Bath,UK,0,Bath,City,England,Alcoholics Anonymous,AA,False
f62fd070-ef38-5598-a814-72277f2ecd2d,Tarleton Just For Today,,,PR4 6HH,53.677949,-2.827066,Farm Fellowship Church Hall,"Bank House, 23 Coe Lane",,Friday,False,True,False,False,,,,2323/,Liverpool,UK,0,Liverpool,City,England,Alcoholics Anonymous,AA,False
62317521-6544-5297-b6f3-087f961bac04,The Lunch Bunch,,,BS8 3ED,51.462602,-2.616295,All Saints Church,"Pembroke Rd, Clifton",,Saturday,False,True,False,False,,,,1897/,Bath,UK,0,Bath,City,England,Alcoholics Anonymous,AA,False
267c2b4e-6390-575a-861b-8bd9e0017c7c,Thornbury: Discussion,,,BS35 2QX,51.587797,-2.53105,Jubilee Hall,"Greenhill Rd, Alveston Nr Thornbury",,Tuesday,False,True,False,False,,,,34/,Bath,UK,0,Bath,City,England,Alcoholics Anonymous,AA,False
390b8670-8342-56d0-86cd-64be247997de,Trowbridge,,,BA14 8SF,51.323693,-2.204117,St Thomas Church (New Rooms),St Thomas Rd,,Sunday,False,True,False,False,,,,1115/,Bath,UK,0,Bath,City,England,Alcoholics Anonymous,AA,False
fdd3a75b-65d6-517b-8162-8e5c34bfae5b,Wandsworth,,,SW18 2QU,51.458354,-0.182608,Hall Next To St Mary Magdalen Church,"96 Northside,",,Wednesday,False,False,False,False,,,,303/,City of London,UK,0,City of London,City,England,Alcoholics Anonymous,AA,False
