Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Region,Area,Country,Type
805943bf-5965-5b7a-a507-19d58596f87f,Birgidale Complex,20:00,1hr 40mins,G45 9LW,55.800794,-4.238608,Birgidale Complex,"10 Stravanan St,Castlemilk",civic.fleet.gates,Wednesday,False,True,False,True,All mtgs 'open'.,,,,,England,Alcoholics Anonymous
a9f41f33-e6b1-525e-94b5-eeb0eb867202,France Paris: Courage To Change,19:00,,,48.8621081,2.3066393,American Church,"65 Quai D'orsay,Paris 7.",reef.news.deflate,Friday,False,False,False,True,Open,,,,,England,Alcoholics Anonymous
15d029ef-9c20-516f-9dc0-de23f3c0a048,Peterborough Cos Nowego Polish Speaking,18:00,2hrs,PE3 6LU,52.570899,-0.28537,Longthorpe Village Hall,295 Thorpe Rd,useful.caked.suffice,Saturday,False,True,False,True,All mtgs 'open'.,,,,,England,Alcoholics Anonymous
13a5d4c7-b20a-5004-9f9d-78cd9b961d2d,Rhodes Town,10:30,,,36.4340533,28.2176379,Old Hospital,"Queen Olga,Red Cross St 3,Rhodes 85100 (Erithro Stavro)",chains.musician.cherry,Saturday,False,False,False,False,,,This meeting is through the summer only from 15th April til 15th November.,,,England,Alcoholics Anonymous
4083e61d-9c14-5f1b-a143-087ae5f89db0,Rochdale Zrodlo Zycia Polish Speaking,18:30,1hr 30mins,OL11 4LZ,53.606502,-2.167505,Polish Catholic Centre,365 Manchester Rd,events.value.tribune,Sunday,False,False,True,True,All mtgs 'open'.,,Chit system available.,,,England,Alcoholics Anonymous
d6500b2c-95a5-5971-95cb-d36482b4de86,Scunthorpe Wybudzeni Polish Speaking,15:30,2hrs,DN15 6QX,53.590863,-0.644898,1 Printers Yard,Fenton St (Before The Entrance To The Bus Stn),league.stroke.with,Sunday,False,False,True,True,All mtgs 'open',,Chit system available.,,,England,Alcoholics Anonymous
16031334-25c4-58b0-ab06-eed704080598,Warstock Step & Tradition,19:30,1hr 30mins,B14 4QA,52.412206,-1.870612,Warstock Community Centre (Small Room),"1 Daisy Farm Rd,Yardley Wood",bumpy.will.pine,Tuesday,False,True,True,False,,,,Birmingham,Midlands,England,Alcoholics Anonymous
534d303b-5a5e-56f4-b904-95658d4133de,Wolverley Big Book,19:30,1hr 30mins,DY11 5TN,52.411133,-2.257256,Wolverley Memorial Hall,"Green Rm,Wolverley",draw.nobody.slam,Friday,False,False,False,False,,,The Green Rm is located at the rear of the Memorial Hall.,Black Country,Midlands,England,Alcoholics Anonymous
bfd0ee05-3251-582e-b2de-e72e861d6fc0,"Blackpool Hope, Faith & Gratitude",13:30,1hr,FY2 0NB,53.858832,-3.024883,Kincraig Community Centre,"Kingcraig Place,Bispham",flight.blend.stops,Monday,False,True,False,True,All mtgs 'open'.,,,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
d36d8bd4-9704-5d04-95dc-af39ce5e2126,Blackpool Ladies Big Book Study & Share,18:30,1hr,FY4 3PT,53.78512,-3.033133,Lostock Gardens Community Centre,Clayton Cres,zooms.wool.using,Sunday,True,True,False,False,,,,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
