Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Region,Area,Country,Type
8e1a8fe4-634d-5be9-bbc1-a59290372a29,Evesham Morning Step 11,07:00,1hr,WR11 4PJ,52.093443,-1.945953,Unitarian Chapel,Oat St,match.arise.clubs,Tuesday,False,True,True,False,,,Prayer and meditation meeting with sharing option.,,,England,Alcoholics Anonymous
9f1424e6-c5f2-5a29-a546-4f6d44ec2bec,Stepps ODAAT,20:00,1hr 45mins,G69 9DL,55.904301,-4.104217,Cultural Centre,"Lyndseybeg Rd,Chryston",lines.sushi.driven,Monday,False,True,False,True,All mtgs 'open'.,,No meeting held on any Bank Holiday Monday.,,,England,Alcoholics Anonymous
5889e2ab-ea94-54b2-9643-f11ec48f8bef,Birmingham Digbeth,20:00,1hr 30mins,B12 0PB,52.472624,-1.884421,St Anne's Catholic Church,96 Bradford St,formed.purely.chemistry,Monday,False,False,False,True,All mtgs 'open'.,,,Birmingham,Midlands,England,Alcoholics Anonymous
32c4f53e-0f59-54db-bebf-6b3bdd6f8bcf,Bromsgrove Step,20:00,1hr,B60 1AS,52.335479,-2.055578,Bromsgrove Methodist Centre,19 Stratford Rd,active.snap.sting,Thursday,False,True,False,True,'Open' mtgs on request.,,,Birmingham,Midlands,England,Alcoholics Anonymous
734e8e7e-52f7-5f61-babd-619163e8c0ca,Dudley Top Church,19:30,1hr 30mins,DY1 1QD,52.508839,-2.087337,Top Church,High St,slap.list.supply,Monday,False,True,True,True,'Open' mtgs on request.,,Chit system available.,Black Country,Midlands,England,Alcoholics Anonymous
4d158b28-4b71-5bf9-b602-6e3f7e970d1e,Blackpool Hope In The Harbour,19:30,1hr 15mins,FY4 4FE,53.800395,-2.989624,The Harbour NHS Site,Preston New Rd,tight.chimp.lakes,Tuesday,False,True,False,True,All mtgs 'open'.,,,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
ed06a2b7-2947-5f69-ad4c-ff737c940774,Westbourne Women's Step,12:30,1hr 15mins,BH4 9DN,50.722335,-1.900712,West Cliff Baptist Church,"Poole Rd,Wesbourne",gifts.took.stow,Friday,False,False,False,False,,,,Bournemouth District,South West,England,Alcoholics Anonymous
56dda3e9-b590-51a7-99c2-0e4f9b8ea09d,"Bristol Happy, Joyous & Free",19:00,1hr,BS16 3QG,51.474156,-2.530031,St John's Church Hall,Lodge Causeway,mutual.gangs.piles,Friday,False,True,False,True,All mtgs 'open'.,,Doors open 18.30.,Bristol and District,South Midlands,England,Alcoholics Anonymous
c30f7872-d898-5ec2-bf1b-561413c73e06,Bristol Living Sober,13:00,1hr,BS16 6NU,51.500004,-2.49394,Methodist Church Lower Hall (Rear Of Building),"Badminton Rd,Downend",operation.guru.exist,Wednesday,False,True,False,True,All mtgs 'open'.,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
835b0699-3e4d-5181-ae7f-7535ce45061d,Bristol Newcomers Feelings,19:00,1hr,BS8 1LL,51.456315,-2.613331,University Catholic Chaplaincy,"103 Queens Rd,Clifton",drill.flank.pack,Saturday,False,False,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
